Наслов,Опис,Категорија,Автор,Издавач,Година,Страници,Цена
Standing in the Shadows,"The final novel in the bestselling Alan Banks crime series - and a NUMBER ONE PAPERBACK BESTSELLER (January 2024) - by the master of the police procedural. 'The best mystery-procedural series on the market. Try one and tell me I'm wrong' STEPHEN KING Late November, 1980. Student Nick Hartley returns from a lecture to find his house full of police officers. As he discovers that his ex-girlfriend has been found murdered in a nearby park, and her new boyfriend is missing, he realises two things in quick succession: he is undoubtedly a suspect as he has no convincing alibi, and he has own suspicions as to what might have happened . . . Late November 2019. An dig near Scotch Corner unearths a skeleton that turns out to be far more recent than the Roman remains the archaeologist is looking for. Detective Superintendent Alan Banks and his team are called in and, as an investigation into the find begins, the past and the present meet with devastating consequences. 'The master of the police procedural' MAIL ON SUNDAY","Crime & Thriller , Thriller","Robinson, Peter",Hodder & Stoughton,2024,359,699 Денари
The Girl in the Eagle's Talons,"A pulse-pounding new DRAGON TATTOO thriller ""Lisbeth Salander is back - and maybe better than ever . . . Remarkable"" LEE CHILD ""Fresh, fearless, faithful and original . . . I loved it"" CHRIS WHITAKER The untapped natural resources of Sweden's far north are","Crime & Thriller , Thriller","(translator), Sarah Death",Quercus Publishing,2024,,799 Денари
Resurrection Walk,"Defense attorney Mickey Haller is back, taking the long shot cases, where the chances of winning are one in a million. He agrees to represent a woman in prison for killing her husband, a sheriff's deputy. Despite her conviction four years earlier, she stil","Crime & Thriller , Thriller","Connelly, Michael",Orion Publishing Group,2024,,799 Денари
The Midnight Game,"Rules of The Midnight Game: Do not turn on the lights. Do not go to sleep. Do not leave the building. When a group who have met on a creepy Deddit thread decide to meet in real life, they only have one plan in mind: they are going to summon the Midnight Man. And once you start the Midnight Game, you must finish it - there's no other way out! Six strangers. One night. But how many survivors? From thriller-horror YA queen, Cynthia Murphy, author of Last One To Die and TIKTOK MADE ME BUY IT Win Lose Kill Die, comes her third nail-biting novel about CreepyPasta. Perfect for fans of Karen McManus, Kathryn Foxfield and slasher horror movies like Candyman. With six-character points-of-view, Deddit threads, newspaper articles and DMs, this pacy thriller will keep you awake and guessing until the very last page. PRAISE FOR MIDNIGHT GAME ""If Karen McManus and Stephen King wrote a book together, this would be it!"" - Instagram review ""The CEO of plot twists"" - Praise from BookTok community ""Terrifying and mesmerising"" - Rosie Talbot, author of Sixteen Souls ""So deliciously creepy and atmospheric!"" - Amy McCaw, author of Mina and the Undead series","Crime & Thriller , Thriller","Murphy, Cynthia",Scholastic Inc.,2023,400,699 Денари
City on Fire,"""One of America's greatest storytellers."" - Stephen King ""No one fuses action with emotion like Winslow."" - The Times The new thriller from the #1 international bestseller - the start of a brand new trilogy","Crime & Thriller , Thriller","Winslow, Don",HarperCollins Publishers Limited,2023,384,699 Денари
Killer Instinct,"Cold cases get hot in this unputdownable mystery from Jennifer Lynn Barnes, no.1 New York Times bestselling author of The Inheritance Games series. Perfect for fans of A Good Girl's Guide to Murder. Cassie Hobbes has a gift for profiling people. Her talent","Crime & Thriller , Thriller","Barnes, Jennifer Lynn",Quercus,2023,,799 Денари
Murder for All Seasons [Special Edition],"Agatha Christie's four seasonal short story collections presented in a sumptuous special edition boxset. Forty-eight unforgettable stories from the Queen of Crime to take you through the seasons, from a crackling winter fireside to the beating sun of high summer. Published across her long career and featuring all her most famous characters - Hercule Poirot, Miss Marple, Tommy and Tuppence and more - these beautiful hardbacks are both a treat for any fan and a perfect entry point for anyone new to her writing. There is something for everyone.","Crime & Thriller , Thriller","Christie, Agatha",HarperCollins Publishers Limited,2023,1600,3.599 Денари
No Plan B,"""The gripping new Jack Reacher thriller from the #1 New York Times bestselling authors Lee Child and Andrew Child. The plan: It's coming Fall 2022. No Plan B. In Gerrardsville, Colorado, two witnesses to the same tragedy give two different accounts. One guy sees a woman throw herself in front of a bus in what authorities will call a suicide. The other witness is Jack Reacher. And he sees what actually happened: A man in a gray hoodie and jeans, moving like a shadow, pushed the victim to her death-before swiftly grabbing the dead woman's purse and strolling away. Reacher follows the killer on foot, not knowing that he is part of something much bigger and far-reaching . . . a secret conspiracy with many moving parts, with powerful people on the take, all involved in an undertaking that leaves no room for error. If any step is compromised, the threat will have to be quickly and quietly and permanently removed. Because when the threat is Reacher, there is No Plan B...""--","Crime & Thriller , Thriller","Child, Lee",Tbs-Penguin Random House Wholesale,2023,432,699 Денари
Alex Cross Must Die,"The thirty-first instalment in James Patterson's globally bestselling series. When an American Airlines plane explodes in the sky, detectives Alex Cross and John Sampson are first on the scene. They don't hear the gunfire. At first. It soon becomes clear that the plane was taken down by a rare, stolen machine gun. The list of people who could operate the weapon is short. And time runs even shorter. But this isn't the only case the pair must solve. They're also tracking a serial killer who's ambushing young men in what the media are calling the 'Dead Hours' murders. With two killers and two different motives, Cross and Sampson are in a deadly race against time . . . ________________________________ PRAISE FOR THE ALEX CROSS SERIES 'Patterson never, and I mean never, disappoints' USA Today 'Behind all the noise and the numbers, we shouldn't forget that no one gets this big without amazing natural storytelling talent - which is what Jim has, in spades. The Alex Cross series proves it' Lee Child 'Alex Cross is a legend' Harlan Coben 'Alex Cross ... only gets better and better' Lisa Scottoline 'I wrote, ""Along Came a Spider is the best thriller I've come across in many a year. It deserves to be this season's no. 1 bestseller and should instantly make James Patterson a household name."" A household name, indeed' Nelson DeMille '[Alex Cross] has become one of the greatest fictional detectives of all time, a character for the ages' Douglas Preston and Lincoln Child","Crime & Thriller , Thriller","Patterson, James","PENGUIN RANDOM HOUSE , LLC",2023,400,1.199 Денари
Mister Magic,"Who is Mister Magic? Former child stars reunite to uncover the tragedy that ended their show - and discover the secret of its enigmatic host - in this dark supernatural thriller from the No. 1 New York Times bestselling author of Hide. Thirty years after a tragic accident shut down production of the classic children's program Mister Magic, the five surviving cast members have done their best to move on. But just as generations of cultishly devoted fans still cling to the lessons they learned from the show, the cast, known as the Circle of Friends, have spent their lives searching for the happiness they felt while they were on it. The friendship. The feeling of belonging. And the protection of Mister Magic. But with no surviving video of the show, no evidence of who directed or produced it, and no records of who - or what - the beloved host actually was, memories are all the former circle of friends have. Then a twist of fate brings the castmates back together at the remote desert filming compound that feels like it's been waiting for them all this time. Even though they haven't seen each other for years, they somehow understand one another better than anyone has since. After all, they're the only ones who hold the secret of that circle, the mystery of the magic man in his infinitely black cape, and, maybe, the answers to what really happened on that deadly last day. But as the Circle of Friends reclaim parts of their past, they begin to wonder: Are they here by choice, or have they been lured into a trap? Because magic never forgets the taste of your friendship. . . Kiersten White is a NYT bestselling author as of August 2022.","Crime & Thriller , Thriller","White, Kiersten",Random House Publishing Group,2023,304,1.099 Денари
