Наслов,Опис,Категорија,Автор,Издавач,Година,Страници,Цена,Извор
Неточка Незванова,"Со мајсторски стил и длабоко чувство за човековата душа, Достоевски го внесува читателот во најскришните мисли на девојчето кое неусетно се претвора во девојка.
Во форма на лична исповед, приказната ни ги открива премрежјата на Неточка Незванова. Од најмала возраст таа е принудена да ја запознае сиромаштијата, да ја поднесе смртта на мајка си и да биде напуштена од татко си. Нејзиното детство го минува во сенката на очувот Ефимов, пропаднат музичар кој смета дека е занемарен гениј и кој на чуден начин ја привлекува. Но од овој пијаница не може да се очекува друго освен да ја искористи и да ја доведе до пропаст. Кога ќе биде спасена од страна на една аристократска фамилија, Неточка се одлучува од остане аутсајдер – осамен набљудувач на блескавото општество.Почетокот на единствениот незавршен роман на Достоевски е објавен пред да биде уапсен и депортиран во Сибир под сомнеж за револуционерни активности. По десет години минати таму, и по враќањето во Санкт Петербург, не продолжува со работата над овој важен текст во кој ги прикажува страдањето, осаменоста, лудилото и гревовите кои не одминуваат никого. Романот ги содржи темите кои доминираат и во подоцнежните дела на рускиот класик.Раскажувајќи ни ја приказната за една фамилија и настаните поврзани околу истата преку ликот на малата Неточка: преселбата од Санкт Петербург во Москва во куќата на Александра Михајловна, едно неочекувано убиство, необичното пријателство со кнегинката Катја, смртта на нејзиниот очув, како и откривањето на тајно писмо, Достоевски во својот недовршен роман Неточка Незванова ја акцентира темата на страдањето на децата, интересите и предизвиците при нивното соочување со општеството во кое живеат.Неточка Незванова раскажува за своето детство во сенката на очувот, Ефимов, пропаднат музичар кој смета дека е занемарен гениј. Младата девојка на чуден начин ја привлекува овој пропаднат пијаница, кој ја искористува и го доведува семејството во крајна сиромаштија. Но кога ќе биде спасена од страна на една аристократска фамилија, деликатната психа на злоставената Неточка се одлучува од остане аутсајдер – осамен набљудувач на блексавото општество. Со приказот на страдањето, самотијата, лудилото и гревовите што ги погодуваат и богатите и сиромашните, ги содржи темите кои доминираат и во неговите подоцнежни романи.",Класики,Фјодор М. Достоевски,Антолог-Боокс ДООЕЛ,,,350 Денари,knigamk
Продавница За Животни Промени,"Роман што буди желба да внесеме повеќе живот во животот и да ја прифатиме иновативната филозофија водилка на зебрата: „смелорноста“.
Три нетипични личности, три електрони со слободни души. Кога ќе им се вкрстат патиштата, поредокот на нештата ќе се измени засекогаш. Полето на можностите се отвора, а хоризонтите се прошируваат. Тие се слеваат еден во друг за да си најдат послободен, поотворен, посреќен пат...
Базил, пронаоѓач, раздвижувач на невроните со несекојдневна генијалност, нè води во еден поетско-уметнички свет што го скокотка умот и поттикнува да скршне од униформното размислување. Отвора „бихевиористичка“ продавница од трет вид: за провокативни предмети што ги будат фантазијата, креативноста и го поттикнуваат отворањето на умот. Џулија, надарен „нос за парфеми“, мечтае да внесе душа во својот занает, а нејзиниот син Артур, бунтовен тинејџер, се труди да си го открие местото во светот во кој припаѓа. Наспроти нив е Лујза Мортеј, уредничката на општинскиот весник која сака по секоја цена да ја затвори чудната продавница.
До каде ќе ги однесе своите ликови? Популарната писателка се враќа во своето најдобро издание – со нов извонреден роман со кој уште еднаш нè изненадува и нè освојува.",Романи,Рафаела Жордано,ТРИ,,,450 Денари,knigamk
Азилантот,"Кристијан Бек е преведувач на упатства за употреба од Готинген, Германија. Неговата тешко болна девојка, Птичка, изразува желба да се омажи со барател на азил од Алжир со цел му помогне да добие дозвола за престој. Бек веќе подолго време не се грижи многу за своите потреби и воопшто не се противи на идејата азилантот да спие во ист кревет со неговата девојка. Настаните што го доведуваат до оваа состојба се одигруваат во она што самиот го нарекува поранешен живот, кога тој и Птичка живеат во Елиат, Израел. Таму тој е писател кој има цел да ги демаскира човековите илузии. Неговата обземеност го доведува до чин на злосторство во локалниот бордел каде тој е секојдневен посетител. Бек ја презема одговорноста, но нема потреба да оди в затвор...",Романи,Арнон Грунберг,Паблишер,,,400 Денари,knigamk
Големата Лага И Малите Вистини,"Самоизолирана од сите, со човек кој не го познавам – со себеси.
Човекот е роб на своите најдлабоки мисли и емоции, скриени во телото кое треба да му биде дом на духот, а кое не успева никогаш докрај да го спознае. Затоа честопати си изгледа како да гледа низ прозорец во внатрешноста на куќата. А внатре е празно...
Додека докторката Лаура де Луци се обидува да ја спаси сестра си од неизлечливата болест, во болницата „Салватор мунди“ се случува хаос. Во Рим се шири мистериозна заразна болест. Притиснати од неа, преморени и исплашени, и лекарите и пациентите стануваат свесни дека се, пред сѐ, луѓе кои сакаат да живеат, да бидат сакани и да сакаат – себеси, другите и светот. А љубов е кога стравот да постоиш без некого е поголем од стравот да се соочиш со себеси. Борејќи се со страшниот вирус, всушност, сите се борат со своите внатрешни демони.
Приказна за животот која нѐ тера да се соочиме со себе и своите морални дилеми. Приказна која извира од имагинација, но се однесува на реалноста. И едно писмо во кое се крие вистината...",Романи,Нона Марковска,ТРИ,,,300 Денари,knigamk
Ју-Полиња Со Диви Нарциси,"Писмото што останува непрочитано во џебот на едно палто е причина за едно долго патување кон секој изминат и иден миг од животот. Сто и осум жолти ливчиња со непромен- ливата порака: Разбуди ме. Страниците од дневникот испишани во потрагата по себе се единствената нишка во лавиринтот на љубовта и неверството. Митови што еманираат од нашето најсекојдневно постоење. Доброволни прогонства и разделби ни ги отвораат портите кон вечно живите детства. Мириси што можат да ги разбудат најскриените агонии на животот секогаш еден чекор пред нас. Како можеме да го најдеме она што ниту сме знаеле дека воопшто ни припаѓа. Противречноста на очекувањето. Да проникнеш во човекот е исто како тој да се роди повторно. Дали тоа што еднаш суштински се скинало може совршено да зацели?
Најновиот роман на Винка Саздова, Полиња со диви нарциси, е необична приказна за едно неверство. Особено восхитуваат веќе докажаното мајсторство во монтажата на нарацијата и суптилната инверзија во која ни се откриваат ликовите. Староста преку младоста, минатото преку иднината. И едното и другото судбински вкрстени во вечното сега.",Романи,Винка Саздова,ТРИ,,,250 Денари,knigamk
"Тоа Што Го Бараш, Ќе Го Најдеш Во Библиотекатa","Читателите сами си создаваат лични врски со зборовите, без разлика што сакал да каже авторот, и притоа добиваат нешто скапоцено.
Што барате? Тоа прашање секојдневно го поставува таинствената библиотекарка во Токио, Сајури Комачи. Како и повеќето библиотекари, таа ја има прочитано секоја книга што спокојно чека на полиците да промени нечиј живот. Но Комачи има и друга необична дарба – да ги чита душите на нејзините посетители и според тоа да им ја препорача вистинската книга.
Разговорите што ги водат читателите со библиотекарката, и книгата што таа ќе им ја даде, носи сериозни последици врз нивниот живот. Ние мислиме дека ги избираме книгите, но всушност, тие нè наоѓаат нас.
Секој што ќе влезе во библиотеката се труди да оствари некој сон, исто како секој од нас. Сега оваа книга те наоѓа тебе. Ти ги подава рацете и е вистинската што ти треба во овој миг. Таа знае дека она што го бараш ќе го најдеш на нејзините страници. Со благозвучен шарм и мудрост, оваа книга е доказ за магичната моќ на библиотеките, пријателството и живеењето во заедница. Таа е совршена за секој што заглавил во ќор-сокак во животот и му треба малку ѕвездеста прашина за инспирација.
„Восхитувачки, нежен спој на приказни кои носат надеж и радост за сите кои се наоѓаат во некој пресвртен момент во животот.“
Киркус ривју",Романи,Мичико Аојама,ТРИ,2024.0,212.0,285 Денари,knigamk
Осум Планини,"„Осум планини“ е едукативен роман, приказна за пријателството на таткото и синот со планината како главен лик, место во кое секој ги наоѓа сопствениот идентитет и смислата на сопственото постоење. Тој е интересен и привлечен, но и класичен во навраќањето на темите пријателство, детство, односот татко – син, а оригинален во амбиенталноста во која планината е апсолутен протагонист. „Осум планини“ е книга посветена на пријателството, кое не мора да биде засновано на сличните животни услови, општественото опкружување, интересите и разликите. Но и на родителството.Оваа книга е приказна за човечките судбини. Освен тоа, ова е роман за планините кој може да го промени погледот на читателите кон нив во позитивна смисла. Но многу повеќе е роман за луѓето, за потребата за осамување, освојување, приспособување, барање, вклопување, но и прифаќање на сопствената суштина.
Стилот на Паоло Коњети е од суштинско значење за успехот на романот – лесен и елегантен, а зборовите се одбрани со екстремна точност. Напишан е со посебен стил, со многу детали кои не оптоваруваат, со употреба на широк спектар зборови преку кој се забележува исклучителното познавање на авторот на планините и природата.",Романи,Паоло Коњети,Македоника Литера,,,300 Денари,knigamk
Куферот Од Берлин,,Романи,Јелена Бачиќ-Алимпиќ,Матица,,,450 Денари,knigamk
Дрвото На Нарајана,"Да замислиме дека стоиме пред дело кое штотуку настанало. Знаеме дека е тоа средишниот дел на триптихонот; од едната негова страна се наоѓа меѓата на светот од другата се протега пределот на парадоксалниот сон. И централниот дел и крилјата што го преклопуваат делото истовремено се и отворени и затворени. Она што ги исполнува може да се шири но формата им е конечна.
Да претпоставиме дека тоа дело има повеќе – на пример, девет – тематски целини, кои меѓусебно се преплетуваат. Едната тематика е семејниот круг, втората метафизиката на соништата, третата „алхемијата на зборовите“, четвртата малограѓанскиот свет, петтата урбанизираното општество, шестата војната, седмата љубовта, осмата ars poetica-та, деветтата смртта.
Да си речеме дека сите тие целини имаат свои делти составени од повеќе ракави-мотиви, и дека ним им одговараат исто така разгранети обработки или сижеа кои бараат соодветен стил. И да поверуваме, најпосле, дека сето тоа можеме да го замислиме како во склопот на целото дело така и во секој од неговите составни елементи.
Настанатото дело, се разбира, ги нема секогаш, во секој свој „фрагмент“, сите елементи од кои е составена целината, но ја има нивната претпоставена слика. И ако оние кохезиски сили, кои ги поврзуваат сите мотиви во „круговите“, се доволно јаки, останува само да се надеваме дека во него има доволно енергија која еден ден ќе нè врати кон заедничкото средиште, до новиот почеток, „или на родителскиот имот“. Така барем мечтаеме ние кои ги замислуваме тие нешта. (Од „Пригодна ars poetica“)",Романи,Митко Маџунков,ТРИ,,,200 Денари,knigamk
Птиците Умираат Пеејќи,"РОМАН СПОРЕД КОЈ Е СНИМЕНА СЛАВНАТА ТЕЛЕВИЗИСКА ХИТ СЕРИЈА
Меги е ќерка на сиромашни доселеници од Австралија. Уште од мала, таа е запоставена од нејзините родители и постојано живее по религиозните и патријархални правила на нејзината фамилија и стегите што ги наметнува гратчето и огромниот имот Дрогхед.
Ралф е млад, убав и речиси совршен свештеник што назначувањето во Австралија во почетокот го доживува како казна. Имено, неговите силни свештенички амбиции се насочени на друга страна, кон таинствениот Ватикан. Уште од првиот момент кога ќе ја запознае десетгодишната Меги, таа му станува многу мила и постојано е нејзин заштитник. По неколку години, една вечер, кога погледите ќе им се сретнат, сега веќе преубавата тинејџерка Меги, ќе пробуди чувства кај Ралф, чувства какви што тој никогаш немал, а и не ни знаел дека ги има. Од тој момент, Ралф е во вечно искушение дали тој е совршен свештеник и има неограничена љубов кон Бога, или сепак постои жена, на чиј мирис, убавина и нежност не може да им одолее.
Дејствието опфаќа повеќе од половина век – двете светски војни и постапките на Ватикан. Тука се судбините на неколку генерации. Оваа љубовна и семејна сага сведочи и за сушите, пожарите и поплавите кои се заканувале со целосно уништување на имотите во Нов Зеланд.
„Волшебна сторија… едноставна, неповторлива!“
– Чикаго Трибјун
„Преплетувањето на љубовни приказни од една генерација во друга, драматичниот заплет, чувството на постојана напнатост, реалните ликови… се во најмала рака неодоливи.“
– Паблишерс викли",Романи,Колин Мекалоу,БАТА ПРЕСС МИЛЕНИУМ Д.О.О. Скопје,,,600 Денари,knigamk
