Наслов,Опис,Kатегорија,Автор,Издавач,Година,Страници,Цена
Книга на спомени,"„Богата приказна, лична, сепак универзална, раскажана со многу имагинација, која го нурнува читателот длабоко во книгата.“ – Британски издавачки билтен
  „Ексцентричен, комичен роман…“ – Њујорк тајмс бук ривју",Фикција,Ана Марија Шуа,Антолог,2014,224,"200,00 Денари"
Конци на судбината,"Возбудлив историски и шпионски роман во кој се испреплетуваат високата мода, политичките заговори и тајните служби. Младата шивачка Сира Кирога во 1936 година го напушта Мадрид спроти граѓанската војна за да замине со Рамиро, човек кого го познава кратко и во кого е лудо вљубена, оставајќи ги зад себе свршеникот и самохраната мајка. Се сместуваат во Тангер, светски и егзотичен град, во кој на почетокот водат живот од приказните.
Таму Сира доживува тешко предавство и останува сама и со многу долгови, принудена да се пресели во Тетуан, каде што со помош на пријатели со сомнителен углед отвора модно ателје за отмени клиентки. Пред крајот на граѓанската војна и во текот на подготовките за Втората светска војна во Европа, судбината ја поврзува со важни историски личности, меѓу кои Хуан Луис Бајгбедер, загадочниот министер за надворешни работи на Франко, Росалинда Фокс, неговата љубовница, и поморскиот аташе Алан Хилгарт, шефот на британското разузнавање во Шпанија. Тие ќе ја втурнат во тајна мисија чиј параван ќе биде нејзиниот занает.
Книга што ја издигна Марија Дуењас на врвот на најчитаните автори во Шпанија.
„Чудесен роман, исполнет со интрига, љубов, тајни и нежност.“ – Марио Варгас Љоса",Фикција,Марија Дуењас,Антолог,2021,624,"650,00 Денари"
Мрачен мотив,"(#1 Арманд Гамаш)
Добре дојдовте во светот на брилијантниот детектив со необичен ум – инспектор Гамаш, легенда од рангот на Херкул Поаро и Шерлок Холмс!
Во планинските предели на Квебек се наоѓа идилично канадско селце, кое нема да го најдете на карта. Таму животот е толку спокоен, што локалните жители не ги заклучуваат вратите. Сѐ додека едно утро омилената и почитувана сликарка Џејн Нил не е пронајдена мртва во шумата. Прободена со стрела во срцето. Случајот е предаден на блескавиот главен инспектор од одделот за убиства, Арманд Гамаш. Вистинска знаменитост во полициските кулоари, проникливиот детектив доаѓа од Монтреал за да ја разгатне мистеријата. Жителите се убедени дека станува збор за несреќен случај за време на лов, но Гамаш брзо открива дека во наизглед тивкото село секој има своја тајна и маска. И дека клучот на загатката се крие во една слика на сликарката, создадена кратко пред да умре.",Фикција,Луиз Пени,Антолог,2017,336,"400,00 Денари"
"Пченкарнозлатна коса, сиви очи","Во Англија во 1962 година е пронајден мртов Исланѓанец. Во возот полицијата наоѓа и мапа со исцртана свастика со црвено пенкало. Кој е тој и каде одел?
Романот, кој е своевидна биографија и мистерија, ја раскажува приказната за Гунар Кампен, основачот на исландската антисемитска националистичка партија што одржувала врски со широката мрежа сродни групи низ светот.
Уште како младо момче Гунар се интересира за луѓето и за тековните прашања во земјата и во странство. Живее со својата грижлива мајка, двете сестри и брат му, кои го опсипуваат со љубов и со грижа, а и тој самиот е внимателен брат и син. Но, во пролетта 1958 година, ја основа антисемитската политичка партија на националистите и започнува да придонесува кон брзорастечката светска организација на неонацисти.
Во текст што осцилира од поетски слики од детството до мрачни мисли, Сјон го испитува животниот тек на протагонистот. Истовремено, се поставува прашањето дали Гунар Кампен е толку едноставен како што изгледа на прв поглед.
Провокативен роман за мистериозниот исландски неонацист и глобалната опседнатост со оваа доктрина. Мајсторски напишано ремек-дело, кое долго ќе ве прогонува.
  *Книгата е достапна со потпис од авторот. Во коментар за нарачката нагласете доколку сакате да добиете потпишан примерок.",Фикција,Сјон,Антолог,2021,112,"250,00 Денари"
Стаклената река,"Што се крие зад буквите ND издлабени во темелите на православен храм? Какви се чудните камени статуетки на црквата во село Градиште и чиј е духот што броди во неа? Пред овие прашања стои младата Французинка Елен Тибо, која пристигнува во Бугарија за да најде траги од доцното богомилство. Овде Елен сретнува група студенти што ја реставрираат црквата заедно со својот професор Стефан Методиев. Откако ќе се смести во куќата на баба Монка, каде што е сместена и убавата сликарка Марица, Елен се запознава со Виктор Марков.
Започнуваат да се случуваат невообичаени нешта што ги вовлекуваат во мистериозни случувања што го запираат здивот. Соништа, преданија и реалност измешани во едно ужасувачко дводневно патување во земниот пекол на љубовта и страста.
Емил Андреев мајсторски раскажува и гради една естетика на ужасот, напнатоста и загатката. Романот е истовремено и мистичен, и авантуристички, и готски, и историски!",Фикција,Емил Андреев,Антолог,2019,228,"250,00 Денари"
Куклата,"#5 ДЕТСКАТА КУЌА
Требаше да биде тивко семејно патување со риболов, можност за мајката и ќерката да разговараат, но тоа засекогаш ги менуванивните животи!
Не уловуваат ништо освен една скршена кукла што се заплеткува во мрежата. По години минати во океанот, куклата изгледа застршувачки и првичниот инстинкт на мајката е да ја фрли назад.Попушта откако ќерка ѝ инсистира да ја задржат. Истата вечер, мајката објавува фотографија од куклата на социјалните мрежи. До следното утро, таа е мртва, а куклата е исчезната.
Неколку години подоцна, Хулдар е на своетонајомразено место – брод во разбранувани води, барајќи човечки остатоци. Меѓутоа, идентификувањето на скелетот што ќе го пронајдат се покажува потешко отколку што првично мислеле и Хулдар мора да го повика искуството на Фреја. Како што се продлабочува мистеријата, Хулдар е вовлечен во истрага на убиство на бездомен зависник од дрога, а Фреја истражува можен случај на сексуална злоупотреба во дом за сираци.
Наскоро станува очигледно дека овие случаи се поврзани преку еден исчезнат сведок: девојчето што ја посака куклата пред сите тие години.
Напната, застрашувачка и невозможна да се остави, „Куклата“ ја цементира репутацијата на Ирса Сигурдардотир како маестро на раскажувачка тензија и изненадување.
*Книгата е достапна со потпис од авторот. Во коментар за нарачката нагласете доколку сакате да добиете потпишан примерок.",Фикција,Ирса Сигурдардотир,Антолог,2022,400,"500,00 Денари"
"Волга, Волга","Уште еден фантастично напишан роман од Миљенко Јерговиќ!
Секој петок, Џелал Пљевљак патува 116 километри со својата црна волга, од Сплит до Ливно. Оди во џамија и се враќа назад. И така едно 15 години. И кога мисли дека веќе ги познава секое дрво и секоја куќа покрај патот, му се случува нешто што ќе му го смени животот засекогаш. Го зафаќа типична босанска снежна бура и патот ќе го навее во селото Фатуми.
Пет години подоцна, 1993, во текот на најсуровиот дел од војната во Босна, еден неименуван документарист се обидува да ја реконструира приказната со која јавноста опсесивно се занимавала до не толку одамна. Приказната за човекот кој станал последна и најголема ѕвезда во историјата на црните хроники на овие простори.
Потресната животна сторија за осаменоста е поделена во три дела и е доволно загатлива за да го вовлече читателот во себе, но исто толку отворена за да не може да се остави и да се излезе од неа. Јерговиќ повторно си игра со документите, си игра со перспективите, со точките на гледиште. Не се знае докрај кој ја зборува вистината, што е вистината, кој има право, има ли виновници воопшто. Ова е свет со комплексни ликови во кој е сѐ дозволено и е сѐможно, свет во кој човековата природа е внимателно истражена и е длабоко нурнато во темниците на човековиот ум.",Фикција,Миљенко Јерговиќ,Антолог,2023,272,"450,00 Денари"
Баксузи,"Во „Баксузи“ писателот се враќа на своето родно место, каде што организираат бурлескна манифестација, Тур де Франс на пијаниците. Се запознаваме со татко му, Пјер, кој во поштенска торба на велосипедот го носи своето тукушто родено синче по сите кафулиња за да им го покаже на своите пријатели. Да не ги заборавиме и неговите мрзливи чичковци, за кои светското првенство во чашкомет е највисоката цел, а мотото е „Денот е пред нас, а ние се трудиме да го потрошиме“. „Баксузи“ е моќна трагикомична ода на безделништвото во најекстремната форма, а истовремено и смешно претставување на младоста. Верхулст е моќен стилист, кој со чувството за динамика и наративна сила го задржува интересот на читателите од првата до последната страница.
Според автобиографискиот роман „Баксузи“ е снимен истиоимениот филм од 2009 година, награден и на Канскиот фестивал.",Фикција,Димитри Верхулст,Антолог,2014,192,"200,00 Денари"
Жената во кафезот,"СВЕТСКИ БЕСТСЕЛЕР
#1 СЕКТОРОТ Q
Прогонувана. Киднапирана. Но достоинствена. И борбена. Гребе со ноктите по голите ѕидови на просторијата во која е заробена додека прстите не почнат да ѝ крвават. Нема начин да одреди колку е часот или кој ден е, па неделите и месеците минуваат како на бескрајна лента. Прикриениот глас во темнината е груб и немилосрден. Вели дека сето тоа ќе престане кога ќе му одговори на едно едноставно прашање…
Детективот Карл Морк се враќа на работа по подолго отсуство поради престрелка во која едниот од неговите колеги останува парализиран, а другиот е убиен. Карл се обвинува себеси, а колегите почнуваат да го избегнуваат. Шефот го преместува во новоформираниот сектор за нерешени случаи надвор од Копенхаген, наречен секторот Q. Како единствен вработен во овој сектор му е назначен сирискиот имигрант Асад, кој всушност е чувар, но се покажува како талентиран и надарен детектив.
Карл одново ја започнува истрагата за случајот со исчезнатата млада политичарка Мерете Лингор. Таа исчезнала пред пет години и се претпоставува дека е удавена, но нејзиното тело никогаш не е пронајдено. Карл смета дека нешто е пропуштено во истрагата. Навистина, Мерете не е мртва. Сè уште не!
Веднаш по објавувањето, книгата се искачила на првото место на топ-листите и се задржала на врвот на бестселери цела година! Според книгата е снимен и филм.",Фикција,Јуси Адлер-Олсен,Антолог,2017,406,"450,00 Денари"
Најдено-загубено (I издание),,Фикција,Жарко Кујунџиски,Антолог,2008,128,"200,00 Денари"
