Наслов,Опис,Категорија,Автор,Издавач,Година,Страници,Цена,Извор
Забава со еднорози / Дино забава (со бебешка глодалка),"Книгичка од текстил, со бебешка глодалка за малите запчиња што почнуваат да растат. Совршена за бебенца кои штотуку се запознаваат со книгите.",Сликовници,,Топер,2024.0,6.0,130 Денари,literatura
Дијамантски девојки,"„Семејството е како скапоцен дијамант, можеби има недостатоци, но неговата вредност е неизмерна"" „Љубовта може да ги поправи најдлабоките рани, исто како што притисокот го претвора јагленот во дијаманти“ „Во најтемните моменти, семејството најсилно сјае"". „Дијамантски девојки“ навлегува во релевантни теми кои предизвикуваат размислување како што се семејството, издржливоста и моќта на врските помеѓу браќата и сестрите. Читателите ќе бидат емотивно трогнати од патувањата на ликовите, сведоци на нивниот раст и пораките за надеж и љубов кои одекнуваат низ приказната. Овој роман нуди вредни животни лекции за храбро соочување со неволјите и важноста да се поддржуваме еден со друг. Читателите ќе научат за силата на семејните врски и значењето на емпатијата, што го прави долготраен извор на инспирација. Читателите ќе се поврзат со разновиден сет на релативни ликови. Секој лик е прикажан со длабочина и раст, што овозможува силна емпатија и идентификација кај читателот. Инклузивните претстави во приказната промовираат чувство на припадност кај широк опсег на читатели. „Дијамантски девојки“ е роман за млади за возрасни на британската авторка Џеклин Вилсон. Приказната се фокусира на една тинејџерка по име Дикси Дајмонд и нејзините три помали сестри додека се движат низ предизвиците на животот во бурното и непредвидливо семејство. Дикси е најстарата од сестрите Дајмонд и често ја презема мајчинската улога, грижејќи се за своите браќа и сестри кога нивната неодговорна мајка, Ширли, не е во можност. Семејството живее во мал и тесен стан во Лондон, а нивните животи се обележани со финансиска нестабилност и чести преселби. Како што се развива романот, сестрите Дијамант се соочуваат со серија искушенија и неволји. Дикси се бори со тинејџерските проблеми како што се училиштето, вклопувањето со своите врсници, сето тоа додека се обидува да ги заштити своите помлади сестри од нивните тешки околности. Девојките откриваат и тајни за минатото на нивната мајка кои додаваат сложеност на нивната семејна динамика. „Дијамантски девојки“ ги истражува темите на семејството, издржливоста и моќта на сестринските врски. Навлегува во предизвиците со кои може да се соочат децата од проблематичните домови, вклучувајќи ги запоставувањето и сиромаштијата. И покрај тешкотиите со кои се соочуваат, сестрите Дијамант покажуваат извонредна сила и издржливост додека се поддржуваат една со друга и работат на подобрување на нивните животи. Романот на Џеклин Вилсон нуди срдечна и релативна слика за семејната динамика и силата на односите меѓу браќата и сестрите наспроти неволјите. Ова е приказна која одекнува кај младите читатели и нуди порака за надеж и истрајност среде предизвикувачки околности.",Романи и раскази за млади,Џеклин Вилсон,Икона,2012.0,258.0,549 Денари,literatura
Little Women,"Grown - up Meg, tomboysh Jo, timid Beth, and precocious Amy. The four March sisters could not be more different. But with their father away at war, and their mother working to support the family, they have to rely on one another. Whether they are putting on a play, forming a secret society, or celebrating Christmas, there is one thing they cannot help wondering. Will father return home safely?",Детски класици,Louisa May Alcott,Арс Ламина,2021.0,432.0,499 Денари,literatura
Мојата прва библиотека - ЌЕБЕ,"Книга 24 „ЌЕВЕ“ е дваесет и четврта книга во комплетот, а четиринаесетта од „Жолто ниво”. Изучени букви: А Н Е М И С Т О В Д П Л К Р У Г Б Ј З Ш Ж Ч Ц Ќ",Сликовници,"Деспина Мукоска, Калиопи Трпчева (илустрации)",Арс Ламина,2023.0,24.0,68 Денари,literatura
Хари Потер и Реликвиите на Смртта,"Хари Потер го напушта домот на Дарслиеви на истиот начин како што и пристигна на Привет драјв бр. 4 – на џиновскиот мотор на Хагрид. Овој пат, сè е поразлично: тој веќе нема да се врати кај своите роднини, магијата што со години го заштитуваше е прекината, а зад неговите петици се смртојадите и лордот Волдеморт. Но, пред конечното соочување со Мрачниот господар, Хари и неговите пријатели мораат да ги пронајдат и да ги уништат преостанатите хоркрукси – зашто само така Волдеморт може да биде поразен и доброто да го надвладее злото. „Хари Потер и Реликвиите на смртта“ е седмиот и последен дел од серијалот за младиот волшебник Хари Потер и неговите авантури во светот на волшебниците и магијата.",Научна фантастика и Фантазија за млади,Џ. К. Роулинг,Арс Ламина,2021.0,592.0,750 Денари,literatura
Мојата прва библиотека - ЗАБИ,"Книга 19 „ЗАБИ“ е деветнаесетта книга во комплетот, а деветта од „Жолто ниво”. Изучени букви: А Н Е М И С Т О В Д П Л К Р У Г Б Ј З",Сликовници,"Деспина Мукоска, Калиопи Трпчева (илустрации)",Арс Ламина,2023.0,24.0,68 Денари,literatura
Кој каде живее? : Домашни животни,"Едукативни налепници: ­Кој каде живее? ДОМАШНИ ЖИВОТНИ Исечи, залепи научи! Низ историјата човекот припитомил голем број животни и ги користел за најразлични потреби – за месо, јајца, пердуви, носење и влечење товар или, пак, за друштво. Нивниот живот станал толку неразделив, што денес тешко може да се замисли животот без нив. Оживувајте ги сцените со животни - налепница по налепница! Налепниците се лесни за сечење и за одлепување и се совршени за малите вредни детски прстиња! Со овие едукативни налепници децата ќе останат долго ангажирани, додека се забавуваат и истовремено учат за живеалиштата на животните.",Книги со стикери,Бранка Бугариска,Арс Ламина,2022.0,5.0,98 Денари,literatura
Бој + лепи: Нашминкај ме,"Детска сликовница со активности за боење и лепење налепници. Во себе содржи над 160 налепници, така што на децата им се овозможува повеќечасовна забава и уживање во убавите илустрации. Оваа сликовница е одличен избор за подарок, а помага и за развој на креативните вештини и моќта за фантазија. За деца (девојчиња) од рана возраст (5+ год.)",Книги со стикери,,Арс Ламина,2024.0,52.0,250 Денари,literatura
Пурпурното море - љубовни бајки од целиот свет,Љубов е кога потребите на другите ги ставаш пред своите. - Frozen Љубовта не треба да биде перфектна туку вистинска. - Beauty and the beast Денешните специјални моменти се сеќавање - Aladdin Никогаш не посакувај да бидеш разкичен од тоа што си - Thumbelina,Романи и раскази за млади,Група автори,Икона,2020.0,78.0,199 Денари,literatura
Големата фабрика за зборови,"Постои земја во која луѓето речиси и не зборуваат. Во таа чудна земја, зборовите мора да се купат и да се проголтаат, за да може да се изговорат. На Филеас итно му се потребни зборови за да може, на убавата Сибел да ѝ го честита роденденот. Но, за сето она што би сакал да ѝ го каже, потребно е цело богатство, а тој нема пари. Не се прашуваат само возрасните како да ги изразат своите мисли и чувства. Малиот Филеас е сигурен во својата љубов, но дали неговиот труд ќе му овозможи тоа и да го искаже? Со само неколку збора, бидејќи зборовите се скапи во земјата на „Големата фабрика за зборови“… Ова е книга што говори за љубовта, за желбата, за потрошувачкото општество во кое сѐсе мери низ призмата на парите, за насилството, за нежноста и, што можеби е најважно – во животот едноставно треба да собереме храброст и да се обидеме да го постигнеме она што многу ни значи.",Сликовници,"Ањес Де Лестрад, Валерија Докампо",Антолог,2022.0,48.0,500 Денари,literatura
Тајните на Дедомразија,"Сигурно не знаете дека патот на вашите желби од Дедомразија до вас, со сета своја магија, Дедо Мраз не може сам да го оствари. Тука се џуџињата Тео со дружината, дедомразовците: Лутко, Мудрецот, Сречко, Мрзливко, Веселко, Вентуро... Тука се и помошниците дедомразовци од Земјата, ирвасите Рудолф, Снешка и Брзи... Ќе се уверите дека патувањето на дедомразовците до вашиот дом може да биде многу возбудливо и интересно, но често пати опасно, кога ќе наидат на неволји кои им ги причинуваат Виуличка и Северко. Така Веселко по грешка ќе отпатува на планетата „Одметнички Свет“ и ќе се запознае со Одметничаните; Лутко по казна ќе се најде во пустината Сахара... Тука се и и нашите познати другарчиња Марио, Максим, Јована, Дино, Софи и Сара кои во исчекување на новогодишните пакетчиња ќе бидат непријатно изненадени. Некогаш ќе се случи збрка и вистинските подароци ќе се најдат на погрешна адреса и многу други перипетии, што овој единствен роман за Дедо Мраз го прават возбудлив и интересен будејќи ја детската фантазија.",Сликовници,"Марио Ачкоски, Софија Стрезова",Едука Мак,2023.0,55.0,250 Денари,literatura
Луди и Лундиса истражуваат,"Луди и Лундиса Два малечки пуфини Летаат над долините и планините. Сонцето сјае. Но, одеднаш гледаат голем тунел. Автомобили влегуваат и излегуваат од тунелот. Дали Луди и Лундиса ќе влезат во тунелот?",Сликовници,Вар Бергмар Јаконсен,Прозарт Медиа,2024.0,32.0,400 Денари,literatura
Ловци на лажни вести од зградата бр. 39,"Приказната во „ Ловци на лажни вести од зградата бр.39“ се врти околу една зграда во едно маало, каде што тројца тинејџери (Дени, Вале и Сашо) демаскираат лажни вести. Се судираат со маалските креирачи на лажни вести од разни генерации и низ сопствената проверка се обидуваат ( и најчесто успеваат) да откријат што е вистина во сето тоа, а што е само плод на маалските озборувања.",Романи и раскази за млади,Огнен Неделковски,КСЦ Полица,2023.0,154.0,250 Денари,literatura
Шерлок Холмс за деца: Дамата со превез,"""Пред седум години во селcето Абас Парва се слуcхил страшен инcидент. Господинот Рондер, сопственикот на ЦИРКУСОТ СО ДИВИ ЈживотНИ, го загубил јживотот откако бил НАПАДНАТ од избеган лав. Холмс се сооcхува со стара мистерија откако добива покана да ја посети дамата која одбива да си го прикаје ликот. Грозоморното злосторство од пред седум години остава ујасни последиcи, а Холмс е единствениот кој моје да ја спаси дамата со превезот од сопствжената совест..""",Романи за деца,Артур Конан Дојл,Арс Ламина,2022.0,104.0,129 Денари,literatura
Моите први 100 зборчиња,"Весела картонска сликовница наменета за најмалите дечиња преку која ќе се запознаат и ќе ги научат првите поими од опкружувањето. 24 страници, димензија 19.5x19.5 см.",Сликовници со тврди страници,Ивана Јовановска,Светот на Биби,2022.0,24.0,360 Денари,literatura
Fingerprint Art: Easter,"This collection includes 8 amazing ready-made images to paint on, so you and your kid can create art with your own fingertips! You can also cut them out and use them as a decoration on your wall.",Боенки и цртанки,Бранка Бугариска,Арс Ламина,2022.0,20.0,118 Денари,literatura
Хари Потер и Редот на фениксот,"Хари Потер е исфрлен од Хогвортс! Бранејќи го својот братуcхед Дадли од дементорите, тој е принуден да употреби магија за време на летниот распуст, постапка што доведува до негово сослушување од министерот за магија лиcхно.",Научна фантастика и Фантазија за млади,Џ. К. Роулинг,Арс Ламина,0.0,736.0,850 Денари,literatura
Фестивал на поезија за деца Стихувалки 2022 : збирка поетски творби,Збирка поетски творби.,Поезија за деца,,Едука Мак,2022.0,104.0,180 Денари,literatura
Шерлок Холмс за деца: Тројцата студенти,"Едно опуштено патување со cел истражување се претвора во трка со времето кога професорот Соумс им се обраќа на Холмс и Вотсон со cхудна мистерија. Тројcа студенти се осомниcхени за мамење пред испит, па ќе успее ли Холмс да го реши слуcхајот навреме за да може да се одржи испитот?",Романи за деца,Артур Конан Дојл,Арс Ламина,2021.0,117.0,129 Денари,literatura
"Овде, во близина, живее едно девојче","Овде, во близина, живее едно девојче кое никој не го познава. Никој не ја кани на гости. Нема пријатели. Дури ни своја соба нема. Исто како и ти, и таа сака близина. Во исто училиште одите. Седи до тебе. Во соседната клупа. Сакаш да ја запознаеш? Во себе чува чудесно богатство… Својата ѕуница. Текстот на Ида Млакар Чрнич е краток, но има разорна моќ. Допира длабоко и ги урива ѕидовите на предрасудите и омразата.",Сликовници,"Ида Млакар Чрнич, Петер Шкерл",Чудна Шума,2023.0,32.0,500 Денари,literatura
Сликовница за суперхерои со штосни налепници - тетоважи,Пау! Зап! Кабум! Вистинска возбуда со овие 24 забавни активности со налепници! Оваа книга содржи: 4 страници со налепници 24 страници со суперхеројски акции 1 страница со трансфер тетоважи (со детални инструкции за нанесување и состојки),Книги со активности,,Арс Ламина,2024.0,,299 Денари,literatura
Сказни од норвешките гори,"Во вториот дел од ""Норвешки приказни и бајки"", насловен ""Сказни од норвешките гори"", ве оcхекуваат бајките за троловите во шумата Хедејл, фантастиcхните приказни за алcхната маcхка, доброто момcхе Кафенко, златната палата што виси во воздухот, за кралот Валемон и за белиот меcхок, за тоа како да се освои принc и уште многу други...",Романи за деца,П. К. Асбјорнсен,Икона,2012.0,336.0,599 Денари,literatura
Имаш пчела на носот,"СТЕЛА: Обвинета сум за хакирање на cелата документаcија во гимназијата. Сите оcенки се избришани. Нема шанси да докаам дека не бев јас. Вљубена сум во еден, а тој во онаа што ја избриша документаcијата, и нема шанси да ме засака. Како да излезам од ова? САНИ: Ме претепаа пред зградата на Наде, само затоа што ја сакам. Ми ја скршија и гитарата, а не е моја. Ме обвинија дека yиркам на физичко во енската соблекувална. А јас само сакав да ја сретнам Наде. Како се најдов во сето ова? Исти души, исти гајлиња. Ова е роман во кој самите треба да го допишете крајот. Прв роман за младинcи од авторот на романите Вештиcа, ""ерката на математичарот и Папокот на светот.",Романи за деца,Венко Андоновски,Издавачки центар ТРИ,2021.0,198.0,300 Денари,literatura
Цртаме чекор по чекор: ликовите од „Светот на Биби“,,Книги со активности,,Светот на Биби,2024.0,16.0,100 Денари,literatura
Авантурите на Дина и Додо: Чорапот на Дедо Мраз,,Сликовници,Оливера Ќорвезироска,Арс Ламина,2021.0,24.0,118 Денари,literatura
Лефти и Рајти си најдоа дом,"Лефти и Рајти живееја во продавница за детска облека и чекаа некое дете да ги купи и да ги носи. Лефти е белата блузичка, а панталоните се Рајти. Мими има 5 години и е многу љубопитна. Сака да се облекува комотно, трча брзо и пее гласно. Што ќе се случи откако Мими ќе ги однесе дома Лефти и Рајти?",Сликовници,Наташа Дукоска,Чудна Шума,2023.0,24.0,300 Денари,literatura
Мистериозните случаи на Енола Холмс: Левораката дама,"Сега и филм на „Нетфликс“ со Мили Боби Браун, Хенри Кавеил и Хелен Бонам Картер! Енола Холмс е во бегство! Зад петиците ù е, ни помалку ни повеќе, туку нејзиниот постар брат, Шерлок Холмс. Сепак, додека се обидува да му измолкне на легендарниот детектив – во најголемиот, најмрачниот и највалканиот град на светот – таа ги открива неочекуваните цртежи на Леди Сесили, што ù оставаат силен впечаток. Но, Леди Сесили е исчезната без трага. Храбро трагајќи по левораката дама низ темните улици на Лондон, Енола ризикува повеќе од што треба. Ги ризикува сопствениот идентитет и сопствениот живот, во случај многу покомплексен од обично исчезнување на една леворака дама. „Левораката дама“ е втората книга од серијалот „Мистериозните случаи на Енола Холмс“ од веќе признаената авторка Ненси Спрингер – совршена приказна за вљубениците во Шерлок Холмс, детективската фикција и мистеријата.",Романи за деца,Ненси Спрингер,Арс Ламина,2021.0,176.0,280 Денари,literatura
Азбуката на Моркел,"Кој ли запишува зборови на хартија и ги постила на полето? Сите имаат сопствена азбука, си помислува Ана. Треба време за да се разберат буквите.",Сликовници,Стијан Холе,Артконект,2021.0,46.0,350 Денари,literatura
Десет минути до спиење: Малата сирена,"Во кралството на сирените, малите сиренчиња пливаа наоколу често! Но, имаше уште десет минути до спиење… А едно од нив не беше на своето место. Од најпродаваната едиција на сликовници што на совршен начин им помагаат на децата да се подготват и да стекнат навика навреме да легнуваат во кревет и полесно да заспијат. Сликовниците се во мек повез и шиени.",Сликовници,"Ријанон Филдинг, Крис Четертон",Бата Прес,2024.0,32.0,350 Денари,literatura
Сонот на моливот со жолто срце,Детската поезија на Владимир Шопов во оваа пеотска книга е испреплеттена со песни кои извираат од сеќавањата за неговото детсто во Буњаковец и Дебар Маало во педесеттите години од изминатиот вен како и од неговото искуство како татко во осумдесеттите и деведесеттите години,Поезија за деца,Владимир Шопов,Темплум,0.0,127.0,530 Денари,literatura
И чудовиштата имаат чувства!,,Романи за деца,Озлем Федаи Корчак,КСЦ Полица,2023.0,32.0,300 Денари,literatura
Стела и Сани: Мистериозниот остров,"Од еден до cелата лјубопитност на светот,колку сакаш да знаеш што има на мистериозниот остров? Ако одговорот е:многу,тогаш и ти си истражуваcх како Стела и Сани.Ним не им бега ниту една трага. Собирање докази или пловење по море? Овде ти избираш како ќе ја cхиташ приказната.",Сликовници,"Бистра Георгиева, Наталија Лукомска",Издавачки центар ТРИ,2021.0,36.0,250 Денари,literatura
Мистериозните случаи на Енола Холмс: Шифрираната кринолина,"Г-ѓа Флоренс Најтингел ѝ доверува тајна порака за „Птицата“ на г-ѓа Тапер, глувата газдарица на Енола, којашто ја сошива во својата старинска кринолина, без да доразбере за што точно станува збор. Исчезнувањето на г-ѓа Тапер ја оживува и шифрираната порака. Енола успева да ги поврзе нишките и да ја одгатне пораката низ вистинска „текстилна“ авантура, навезена, сплетена и исткаена со букви... __________________________________________________________________________ „Шифрираната кринолина“е петтата книга од серијалот „Мистериозните случаи на Енола Холмс“ од веќе признаената авторка Ненси Спрингер – совршена приказна за вљубениците во Шерлок Холмс, детективската фикција и мистеријата.",Романи за деца,Ненси Спрингер,Арс Ламина,2023.0,126.0,280 Денари,literatura
Луѓето и змејовите,,Сликовници,Владо Јаневски,Арс Ламина,2023.0,23.0,168 Денари,literatura
Медо Чедо гаси пожар,"Денес Медо Чедо е пожарникар! Прекрасна сликовница со лизгачи што се влечат и туркаат. Интерактивни сликовници од серијалот „За вешти прстиња“ од Бенџи Дејвис, со механизми за развој на моториката кај децата. Прозорчиња што излегуваат со помош на тркалца и други елементи што се извлекуваат и вовлекуваат и се вистинска забава за целото семејство. Книгата има и едноставен римуван текст со впечатливи, прекрасни цртежи. Исклучително популарни книги во светот и еден од најпродаваните серијали, во кои најмногу ќе се пронајдат малечките од 1 до 3 години, но се разбира ги охрабруваме и помалите дечиња да почнат да си играат со оваа одлична сликовница и да ја развијат моториката. Изработени се од високо квалитетен цврст картон со повеќе слоеви и дебелина на страниците од 4 милиметри. Има 10 вакви страници со вградени подвижни механизми и страниците се со големина 18 х 18 сантиметри. Во секоја сликовница од серијалот, Медо Чедо има некаква задача. Во оваа сликовница тој е пожарникар и ние заедно со него ќе добиеме итен повик, а низ пожарникарската шипка, ќе го спуштиме на приземјето, ќе облече пожарникарско одело и заедно со екипата ќе го збрмчат моторот на пожарникарското возило и ќе тргнат од пожарната. Ќе се возиме низ целиот град и на крајот Медо Чедо ќе биде херој на денот.",Сликовници со тврди страници,Бенџи Дејвис,Бата Прес,2024.0,10.0,499 Денари,literatura
Волшебниот автомобил,"Берке доби автомобил со педали како подарок од неговиот другар, автомеханиcхарот cхиcхко Аднан.Подарокот изгледаше како обиcхен автомобил со педали и навистина беше обиcхен автомобил. Сè додека Берке не ја изговори својата јелба под огромното дабово дрво во паркот...",Романи за деца,Фатих Ердоган,Прозарт Медиа,2021.0,20.0,300 Денари,literatura
Во светот на децата,,Сликовници,Марија Богатиновска,Едука Мак,2023.0,,250 Денари,literatura
Uta e maleve,"Ky është tregimi i një vajze të guximshme me ëndrra të mëdha për tu ngjitur në majat më të larta të botës. Është tregimi i Fluturës, e cila me sytë e saj mahnitës si dy yje e ndriçonte botën rreth saj. Sa herë ndryshonin stinët, ajo vishte një fustan lara—lara dhe me buzën gjithmonë në gaz i nderonte bukuritë e pafund të natyrës. Gjyshi i saj i dashur e thërriste Uta, dhe kështu i mbeti ky emër me të cilin ajo do të njihej nga e gjithë bota.",Сликовници,"Tefta Kelmendi, Vigan Hoxha, Uta Ibrahimi, Katerina Nikolovska",Чудна Шума,2021.0,44.0,400 Денари,literatura
Бајка за едно тажно глувче,"Бајка за едно тажно глувcхе е нова илустрирана книга за деcа, бајка во стихови. Сонот на тажното глувcхе е претставен на поcхетокот со голем страв на глувcхето од лошата маcхка. Но за среќа, маcхките и глувcите се согласуваат да бидат сложни и да завладее вистински сожживот. Прекрасна бајка која говори за стереотипите, за вообиcхаените секојдневни спротовставености, за веcхната борба за опстанок, но како во слуcхајов и за сожживот.",Сликовници,Моника Рујаноска,Едука Мак,2021.0,15.0,200 Денари,literatura
Најубавите басни на светот 1 и 2,"Европската култура и моралните точки кои сѐ уште се знаци покрај патот без кои не можете да бидете дел од таа поширока духовна татковина се вткаени во Басните на Лафонтен. Издавачот ги откупи правата за оригиналните цртежи со костими направени според облеката и симболите на престижод средниот век. Покрај прекрасните илустрации, професорката по француски јазик Калиопа Петрушевска со исклучителен талент ги препеа басните на македонски јазик, на радост на многу деца, и даде придонес за македонската култура која има потреба преку вакви дела да ги освојува вредностите со кои растат и другите деца во светот.",Сликовници,Ла Фонтен,Љубовта е петтиот елемент,,,200 Денари,literatura
